signal_id,security_code,security_name,direction,weight,directness,rationale,in_final20
bdi,603162,海通发展,1,1.0,A,干散货运价上行通常提高船东TCE；港口仅为贸易景气间接映射。,1
bdi,000520,凤凰航运,1,0.9,A,干散货运价上行通常提高船东TCE；港口仅为贸易景气间接映射。,0
bdi,600798,宁波海运,1,0.8,A,干散货运价上行通常提高船东TCE；港口仅为贸易景气间接映射。,0
bdi,601872,招商轮船,1,0.45,B,干散货运价上行通常提高船东TCE；港口仅为贸易景气间接映射。,0
bdi,600428,中远海特,1,0.35,C,干散货运价上行通常提高船东TCE；港口仅为贸易景气间接映射。,0
bdi,600717,天津港,1,0.2,C,干散货运价上行通常提高船东TCE；港口仅为贸易景气间接映射。,1
bci,603162,海通发展,1,1.0,A,BCI需与公司船型结构匹配。,1
bci,000520,凤凰航运,1,0.55,B,BCI需与公司船型结构匹配。,0
bci,600798,宁波海运,1,0.55,B,BCI需与公司船型结构匹配。,0
bci,601872,招商轮船,1,0.7,B,BCI需与公司船型结构匹配。,0
bpi,603162,海通发展,1,1.0,A,BPI需与公司船型结构匹配。,1
bpi,000520,凤凰航运,1,0.55,B,BPI需与公司船型结构匹配。,0
bpi,600798,宁波海运,1,0.55,B,BPI需与公司船型结构匹配。,0
bpi,601872,招商轮船,1,0.7,B,BPI需与公司船型结构匹配。,0
bsi,603162,海通发展,1,1.0,A,BSI需与公司船型结构匹配。,1
bsi,000520,凤凰航运,1,0.55,B,BSI需与公司船型结构匹配。,0
bsi,600798,宁波海运,1,0.55,B,BSI需与公司船型结构匹配。,0
bsi,601872,招商轮船,1,0.7,B,BSI需与公司船型结构匹配。,0
bdti,600026,中远海能,1,1.0,A,原油轮运价直接影响油轮TCE。,0
bdti,601872,招商轮船,1,0.9,A,原油轮运价直接影响油轮TCE。,0
bcti,601975,招商南油,1,1.0,A,成品油轮运价影响相关船队收益。,0
bcti,600026,中远海能,1,0.65,B,成品油轮运价影响相关船队收益。,0
bcti,603209,兴通股份,1,0.55,B,成品油轮运价影响相关船队收益。,0
bcti,001205,盛航股份,1,0.45,B,成品油轮运价影响相关船队收益。,0
blng,600026,中远海能,1,0.7,B,LNG运输景气提高相关运输资产收益。,0
blng,601872,招商轮船,1,0.55,B,LNG运输景气提高相关运输资产收益。,0
blng,605090,九丰能源,-1,0.45,B,LNG航运成本上升可能压缩进口贸易价差，需看长协和转嫁。,1
blng,600803,新奥股份,-1,0.3,B,LNG航运成本上升可能压缩进口贸易价差，需看长协和转嫁。,0
blpg,605090,九丰能源,-1,0.65,B,LPG海运成本上升对进口型企业构成成本压力。,1
blpg,002221,东华能源,-1,0.75,B,LPG海运成本上升对进口型企业构成成本压力。,0
fbx,601919,中远海控,1,1.0,A,集装箱即期运价直接影响班轮，港口仅间接。,0
fbx,600018,上港集团,1,0.2,C,集装箱即期运价直接影响班轮，港口仅间接。,0
fbx,600717,天津港,1,0.2,C,集装箱即期运价直接影响班轮，港口仅间接。,1
bai00,601156,东航物流,1,0.85,A,航空货运价格/需求上行利好承运人，货代还要看采购价差。,0
bai00,603128,华贸物流,1,0.45,B,航空货运价格/需求上行利好承运人，货代还要看采购价差。,0
bai00,002352,顺丰控股,1,0.35,B,航空货运价格/需求上行利好承运人，货代还要看采购价差。,0
brent,600938,中国海油,1,1.0,A,油价上升通常抬升上游实现价格；炼化需看价差。,0
brent,601857,中国石油,1,0.75,A,油价上升通常抬升上游实现价格；炼化需看价差。,0
brent,600256,广汇能源,1,0.55,B,油价上升通常抬升上游实现价格；炼化需看价差。,0
brent,600028,中国石化,1,0.35,B,油价上升通常抬升上游实现价格；炼化需看价差。,0
brent,601111,中国国航,-1,0.7,C,燃油成本上升压缩航空或航运利润，转嫁能力决定影响。,0
brent,600115,中国东航,-1,0.7,C,燃油成本上升压缩航空或航运利润，转嫁能力决定影响。,0
brent,600029,南方航空,-1,0.7,A,燃油成本上升压缩航空或航运利润，转嫁能力决定影响。,0
brent,603162,海通发展,-1,0.2,C,燃油成本上升压缩航空或航运利润，转嫁能力决定影响。,1
brent,000520,凤凰航运,-1,0.2,C,燃油成本上升压缩航空或航运利润，转嫁能力决定影响。,0
wti,600938,中国海油,1,0.8,B,国际油价对油气上游盈利同向映射。,0
wti,601857,中国石油,1,0.7,B,国际油价对油气上游盈利同向映射。,0
wti,600256,广汇能源,1,0.65,B,国际油价对油气上游盈利同向映射。,0
henry_hub,600256,广汇能源,1,0.7,A,天然气涨价利好资源端；对煤头化工是海外气头成本上升的相对利好。,0
henry_hub,600938,中国海油,1,0.35,B,天然气涨价利好资源端；对煤头化工是海外气头成本上升的相对利好。,0
henry_hub,002274,华昌化工,1,0.45,B,天然气涨价利好资源端；对煤头化工是海外气头成本上升的相对利好。,1
copper,603993,洛阳钼业,1,1.0,A,铜价影响矿山/冶炼收入，仍需看自产矿比例、TC/RC和套保。,0
copper,601899,紫金矿业,1,0.85,A,铜价影响矿山/冶炼收入，仍需看自产矿比例、TC/RC和套保。,0
copper,600362,江西铜业,1,0.85,A,铜价影响矿山/冶炼收入，仍需看自产矿比例、TC/RC和套保。,0
copper,000630,铜陵有色,1,0.75,A,铜价影响矿山/冶炼收入，仍需看自产矿比例、TC/RC和套保。,0
copper,000737,北方铜业,1,0.9,A,铜价影响矿山/冶炼收入，仍需看自产矿比例、TC/RC和套保。,1
